text,sentiment,perturbed_text,perturbed_semantic_sim,orig_label,orig_prob,perturbed_label,perturbed_prob,running_time(s),before_attack_acc,after_attack_acc
"meski masa kampanye sudah selesai , bukan berati habis pula upaya mengerek tingkat kedipilihan elektabilitas .",1,meski masa kampanyeu sudah réngsé bukan hartosna réngsé pula usaha kerekan tingkat pilihan elektabilitas,0.7980467,1,0.8362002,2,0.8890444,4.81,1.0,0.8
tidak enak,2,tidak alus,0.815728,2,0.99788755,0,0.6665671,3.65,,
"restoran ini menawarkan makanan sunda . kami memesan ayam goreng , kangkung , sayur asam , ikan gurame goreng , ikan bakar , nasi goreng , karedok , tahu tempe , nasi putih , nasi merah etc minuman yang mereka tawarkan juga cukup variatif . rasa makanan enak dan harga murah . kami 9 dewasa dan 5 anak kecil , hanya menghabiskan 800,000",0,réstoran ini nawaran kadaharan Sunda kami pesenan hayam ngagoreng Kale sayur haseum lauk carp ngagoreng lauk ngaduruk sangu ngagoreng karedok tahu témpé sangu Bodas sangu Beureum jsb nginum yang mereka nawaran juga cukup variatif rasa kadaharan alus dan hargaan murah kami 9 asak dan 5 anaking kecil hanya make nepi,0.6729179,0,0.9976164,0,0.99447745,13.85,,
"lokasi di alun alun masakan padang ini cukup terkenal dengan kepala ikan kakap gule , biasa saya pesan nasi bungkus padang berisikan rendang , ayam pop dan perkedel . porsi banyak dan mengenyangkan",0,lokasi di pasagi pasagi Masak sawah ini cukup kawentar dengan sirah lauk kakap gule biasa saya pesen sangu bungkus sawah ngandung rendang hayam pop dan kueh porsi banyak dan ngeusian,0.86685246,0,0.9982331,0,0.99775046,10.83,,
"betapa bejad kader gerindra yang anggota dprd mencabuli anak smp , rakyat harus cerdas partai mana yang harus di tengelamkan di 2019",2,Kumaha bejat kader coét yang anggota DPRD diganggu anaking SMP jalma harus calakan pihak mana yang harus di ngalelepkeun di 2019,0.8599136,2,0.99257255,2,0.99678516,10.12,,
"kampiun bistro berada di jalan . kebon kawung , sebelah kanan seberang stasiun kota bandung . harga makanan dan minuman nya sangat terjangkau . ada live musik juga . dan kalau beruntung , anda akan bertemu dengan yuke dewa19 di tempat ini .",0,juara bistro berada di jalan kebon kawung padeukeut leres peuntas stasiun kota Bandung hargaan kadaharan dan nginum milikna sangat affordable ada hirup musik juga dan kalau untung anda akan papanggih dengan yuk dewa19 di tempat ini,0.9372709,0,0.99707484,0,0.997993,9.17,,
kamar nya sempit tidak ada tempat menyimpan barang malah menambah barang . by the way ini kipas2 mau diletakkan mana . mana uchiwa segede ini pula .,2,kamar milikna heureut tidak ada tempat ngajaga barang malah nambahan barang ku éta jalan ini kipas2 mau disimpen mana mana uchiwa sakumaha badag salaku ini pula,0.942019,2,0.9885656,2,0.98470485,9.76,,
"saya tadi mampir ke restauran ini , mungkin letak nya strategis , pertama masuk dikasih senyuman manis sama mbak yang ramah , di situ pun saya memesan chiken grill , es thai tea dan super duper ice cream . enak . saya suka .",0,saya tadi mampir ke réstoran ini mungkin lokasi milikna strategis pertama asupkeun dibikeun seuri amis sama sono yang marahmay di Tuh pun saya pesenan hayam hawu és Thai téh dan super duper és krim alus saya siga,0.8366039,0,0.9982816,0,0.99582714,11.18,,
jangan percaya dengan agama buddha . agama itu saja tidak punya tuhan . agama sesat itu .,2,jangan percaya dengan agama budha agama itu saja tidak punya Gusti agama sesat itu,0.9666892,2,0.99814,2,0.9978903,6.43,,
kafe ini menawarkan sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa rekomendasi karena enak rasanya yaitu terong goreng ! di sini saya baru bisa menikmati terong yang diolah sehingga terasa lezat :,0,kafé ini nawaran sesuatu hal yang sebelumnya saya tak siga tapi akhirnya saya bisa rekomendasi karena alus rasanya yaitu térong ngagoreng di sini saya baru bisa ngarasakeun térong yang diolah sehingga terasa ngeunah,0.94394577,0,0.9965035,0,0.9954804,5.79,,
