text,sentiment,perturbed_text,perturbed_semantic_sim,orig_label,orig_prob,perturbed_label,perturbed_prob,running_time(s),before_attack_acc,after_attack_acc
"meski masa kampanye sudah selesai , bukan berati habis pula upaya mengerek tingkat kedipilihan elektabilitas .",1,meski masa usaha sudah menyalut bukan berati memusnahkan pula aktivitas menghidupi mewakilkan kedipilihan elektabilitas,0.89475477,1,0.8362002,1,0.6655859,3.71,1.0,1.0
tidak enak,2,tidak enak,1.0,2,0.99788755,2,0.99788755,3.53,,
"restoran ini menawarkan makanan sunda . kami memesan ayam goreng , kangkung , sayur asam , ikan gurame goreng , ikan bakar , nasi goreng , karedok , tahu tempe , nasi putih , nasi merah etc minuman yang mereka tawarkan juga cukup variatif . rasa makanan enak dan harga murah . kami 9 dewasa dan 5 anak kecil , hanya menghabiskan 800,000",0,bangunan ini ucap zat sunda kami menghubungi lauk goreng kangkung herba campuran seseorang gurame goreng seseorang memusnahkan butir goreng karedok tahu tempe butir seseorang butir kesehatan etc porsi yang mereka tawarkan juga cukup variatif rasa zat enak dan imbalan murah kami 9 seseorang dan 5 perawan kecil hanya menyalut,0.88259953,0,0.9976164,0,0.933621,4.96,,
"lokasi di alun alun masakan padang ini cukup terkenal dengan kepala ikan kakap gule , biasa saya pesan nasi bungkus padang berisikan rendang , ayam pop dan perkedel . porsi banyak dan mengenyangkan",0,tenaga di ombak ombak memasak gelanggang ini cukup tokoh dengan unjuran seseorang ikan laut gule biasa saya akad butir menyalut gelanggang berisikan rendang lauk pop dan perkedel porsi banyak dan mencerna,0.85961944,0,0.9982331,0,0.98679626,4.11,,
"betapa bejad kader gerindra yang anggota dprd mencabuli anak smp , rakyat harus cerdas partai mana yang harus di tengelamkan di 2019",2,betapa bejad kumpulan gerindra yang teman dprd menggairahkan perawan smp seseorang harus cerdas pertemuan mana yang harus di tengelamkan di 2019,0.9097414,2,0.99257255,2,0.95196426,4.06,,
"kampiun bistro berada di jalan . kebon kawung , sebelah kanan seberang stasiun kota bandung . harga makanan dan minuman nya sangat terjangkau . ada live musik juga . dan kalau beruntung , anda akan bertemu dengan yuke dewa19 di tempat ini .",0,kampiun bistro berada di sistem kebon kawung kediaman kedudukan seberang fasilitas berpusat bandung imbalan zat dan porsi nya sangat terjangkau ada live bunyi juga dan kalau mencerna anda akan berinteraksi dengan yuke dewa19 di tempat ini,0.9257989,0,0.99707484,0,0.993565,4.65,,
kamar nya sempit tidak ada tempat menyimpan barang malah menambah barang . by the way ini kipas2 mau diletakkan mana . mana uchiwa segede ini pula .,2,area nya sempit tidak ada tempat menyentosakan unit malah ucap unit by the way ini kipas2 mau diletakkan mana mana uchiwa segede ini pula,0.91316235,2,0.9885656,2,0.9853495,4.03,,
"saya tadi mampir ke restauran ini , mungkin letak nya strategis , pertama masuk dikasih senyuman manis sama mbak yang ramah , di situ pun saya memesan chiken grill , es thai tea dan super duper ice cream . enak . saya suka .",0,saya tadi panggil ke restauran ini mungkin menepatkan nya perancang pertama tiba dikasih senyuman rasa sama mbak yang semangat di situ pun saya menghubungi chiken grill barang thai tea dan super duper ice cream enak saya menghakimi,0.93547016,0,0.9982816,0,0.9948325,4.72,,
jangan percaya dengan agama buddha . agama itu saja tidak punya tuhan . agama sesat itu .,2,jangan mengira dengan akidah santo akidah itu saja tidak punya atasan akidah sesat itu,0.86734545,2,0.99814,2,0.9969183,3.79,,
kafe ini menawarkan sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa rekomendasi karena enak rasanya yaitu terong goreng ! di sini saya baru bisa menikmati terong yang diolah sehingga terasa lezat :,0,restoran ini ucap sesuatu hal yang sebelumnya saya tak menghakimi tapi akhirnya saya bisa penghargaan karena enak rasanya yaitu merebus goreng di sini saya baru bisa menyediakan merebus yang diolah sehingga terasa lezat,0.95637625,0,0.9965035,0,0.99759966,4.24,,
