0,1,2,3
cinta,tresna,cinta,love
Tulung,bantuan,membantu,help
km,km,km,km
cinta,tresna,cinta,love
ngagunakeun,nggunakake,guna,use
Geus,wis,Sudah,Already
Sétan,setan,syaitan,Devil
tabuh,jam,jam,hrs
cinta,tresna,cinta,love
tabuh,jam,pukul,o'clock
abdi,aku,saya,I
ragrag ka handap,tiba,jatuh,fall down
mobil,mobil,kereta,car
cageur,sehat,sihat,healthy
saleresna,tenan,sungguh,really
sakapeung,kadhangkala,kadang-kadang,sometimes
lu,lu,lu,lu
papanggih,ketemu,berjumpa,meet
kalawan,karo,dengan,with
kantor,kantor,pejabat,office
