text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig
"meski masa kampanye sudah selesai , bukan berati habis pula upaya mengerek tingkat kedipilihan elektabilitas .",1,meski masa kampanye sudah selesai bukan berati habis pula effort mengerek tingkat kedipilihan elektabilitas,0.956116497516632,1,[0.0305 0.8365 0.1329],1,[0.3041 0.5664 0.1296],{'upaya': 'effort'},1,1,4.8,0.9404761904761904,0.8857142857142857,0.9362845427933192,9.738722222222222,0.9166666666666666,0.05476190476190468,0.023809523809523725,0.9214285714285714
tidak enak,2,tidak agréable,0.7117601633071899,2,[1.200e-03 7.000e-04 9.981e-01],2,[0.0038 0.0011 0.995 ],{'enak': 'agréable'},2,2,4.22,,,,,,,,
"restoran ini menawarkan makanan sunda . kami memesan ayam goreng , kangkung , sayur asam , ikan gurame goreng , ikan bakar , nasi goreng , karedok , tahu tempe , nasi putih , nasi merah etc minuman yang mereka tawarkan juga cukup variatif . rasa makanan enak dan harga murah . kami 9 dewasa dan 5 anak kecil , hanya menghabiskan 800,000",0,restaurant ini menawarkan aliments sunda kami memesan ayam goreng kangkung sayur asam ikan gurame goreng ikan bakar nasi goreng karedok tahu tempe nasi putih nasi merah etc boisson yang mereka tawarkan juga cukup variante rasa aliments agréable dan le prix murah kami 9 mature dan 5 anak kecil hanya menghabiskan,0.9310361742973328,0,[9.985e-01 1.000e-03 5.000e-04],0,[0.9803 0.0138 0.006 ],"{'enak': 'agréable', 'makanan': 'aliments', 'variatif': 'variante', 'harga': 'le prix', 'restoran': 'restaurant', 'dewasa': 'mature', 'minuman': 'boisson'}",0,0,7.57,,,,,,,,
"lokasi di alun alun masakan padang ini cukup terkenal dengan kepala ikan kakap gule , biasa saya pesan nasi bungkus padang berisikan rendang , ayam pop dan perkedel . porsi banyak dan mengenyangkan",0,lieu di alun alun cuisiner padang ini cukup terkenal dengan kepala ikan kakap gule biasa saya pesan nasi bungkus padang berisikan rendang ayam pop dan perkedel portion banyak dan remplissage,0.9353913068771362,0,[9.988e-01 8.000e-04 4.000e-04],0,[0.9947 0.0041 0.0012],"{'mengenyangkan': 'remplissage', 'masakan': 'cuisiner', 'porsi': 'portion', 'lokasi': 'lieu'}",0,0,6.17,,,,,,,,
"betapa bejad kader gerindra yang anggota dprd mencabuli anak smp , rakyat harus cerdas partai mana yang harus di tengelamkan di 2019",2,betapa dépravé kader gerindra yang anggota dprd agressé anak smp rakyat harus cerdas partai mana yang harus di tengelamkan di 2019,0.9823927879333496,2,[0.0027 0.002  0.9953],2,[0.1055 0.0235 0.8709],"{'bejad': 'dépravé', 'mencabuli': 'agressé'}",2,2,6.85,,,,,,,,
"kampiun bistro berada di jalan . kebon kawung , sebelah kanan seberang stasiun kota bandung . harga makanan dan minuman nya sangat terjangkau . ada live musik juga . dan kalau beruntung , anda akan bertemu dengan yuke dewa19 di tempat ini .",0,champion bistro berada di jalan kebon kawung sebelah kanan seberang stasiun kota bandung le prix makanan dan minuman nya sangat terjangkau ada live la musique juga dan kalau beruntung anda akan bertemu dengan yuke dewa19 di tempat ini,0.953817903995514,0,[9.975e-01 2.100e-03 4.000e-04],0,[9.961e-01 3.400e-03 5.000e-04],"{'kampiun': 'champion', 'musik': 'la musique', 'bistro': 'bistro', 'harga': 'le prix'}",0,0,6.59,,,,,,,,
kamar nya sempit tidak ada tempat menyimpan barang malah menambah barang . by the way ini kipas2 mau diletakkan mana . mana uchiwa segede ini pula .,2,kamar nya étroit tidak ada tempat menyimpan barang malah menambah barang par the way ini kipas2 mau diletakkan mana mana uchiwa segede ini pula,0.9900176525115968,2,[0.008  0.0015 0.9905],2,[0.0398 0.0059 0.9543],"{'sempit': 'étroit', 'by': 'par'}",2,2,5.51,,,,,,,,
"saya tadi mampir ke restauran ini , mungkin letak nya strategis , pertama masuk dikasih senyuman manis sama mbak yang ramah , di situ pun saya memesan chiken grill , es thai tea dan super duper ice cream . enak . saya suka .",0,saya tadi mampir ke restaurant ini mungkin letak nya strategis pertama masuk dikasih senyuman manis sama mbak yang ramah di situ pun saya memesan chiken grill es thai tea dan super duper ice cream agréable saya aimer,0.9539209008216858,0,[9.986e-01 1.000e-03 5.000e-04],0,[9.98e-01 1.40e-03 6.00e-04],"{'suka': 'aimer', 'enak': 'agréable', 'restauran': 'restaurant', 'duper': 'duper'}",0,0,6.9,,,,,,,,
jangan percaya dengan agama buddha . agama itu saja tidak punya tuhan . agama sesat itu .,2,jangan percaya dengan agama buddha agama itu saja tidak punya tuhan agama pervers itu,0.9842531681060792,2,[9.000e-04 1.000e-03 9.981e-01],2,[0.0013 0.0016 0.9971],{'sesat': 'pervers'},2,2,5.53,,,,,,,,
kafe ini menawarkan sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa rekomendasi karena enak rasanya yaitu terong goreng ! di sini saya baru bisa menikmati terong yang diolah sehingga terasa lezat :,0,kafe ini menawarkan sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa rekomendasi karena agréable rasanya yaitu terong goreng di sini saya baru bisa menikmati terong yang diolah sehingga terasa délicieuse,0.9835153818130492,0,[9.953e-01 3.800e-03 9.000e-04],0,[0.9957 0.0025 0.0018],"{'enak': 'agréable', 'lezat': 'délicieuse'}",0,0,5.62,,,,,,,,
