text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig
"meski masa kampanye sudah selesai , bukan berati habis pula upaya mengerek tingkat kedipilihan elektabilitas .",1,meski masa kampanye sudah selesai bukan berati habis pula effort mengerek tingkat kedipilihan elektabilitas,0.956116497516632,1,[0.0305 0.8365 0.1329],1,[0.3041 0.5664 0.1296],{'upaya': 'effort'},0,1,5.06,0.9404761904761904,0.9007936507936508,0.9324333775611152,10.815698412698412,0.9277777777777778,0.03968253968253954,0.012698412698412542,0.9071428571428571
tidak enak,2,tidak nice,0.5409587621688843,2,[1.200e-03 7.000e-04 9.981e-01],2,[1.500e-03 8.000e-04 9.978e-01],{'enak': 'nice'},2,2,4.4,,,,,,,,
"restoran ini menawarkan makanan sunda . kami memesan ayam goreng , kangkung , sayur asam , ikan gurame goreng , ikan bakar , nasi goreng , karedok , tahu tempe , nasi putih , nasi merah etc minuman yang mereka tawarkan juga cukup variatif . rasa makanan enak dan harga murah . kami 9 dewasa dan 5 anak kecil , hanya menghabiskan 800,000",0,restaurant ini menawarkan food sunda kami memesan ayam goreng kangkung sayur asam ikan gurame goreng ikan bakar nasi goreng karedok tahu tempe nasi putih nasi merah etc drink yang mereka tawarkan juga cukup variative rasa food nice dan price murah kami 9 mature dan 5 anak kecil hanya menghabiskan,0.944948136806488,0,[9.985e-01 1.000e-03 5.000e-04],0,[0.9922 0.0052 0.0026],"{'enak': 'nice', 'makanan': 'food', 'variatif': 'variative', 'harga': 'price', 'restoran': 'restaurant', 'dewasa': 'mature', 'minuman': 'drink'}",0,0,9.18,,,,,,,,
"lokasi di alun alun masakan padang ini cukup terkenal dengan kepala ikan kakap gule , biasa saya pesan nasi bungkus padang berisikan rendang , ayam pop dan perkedel . porsi banyak dan mengenyangkan",0,location di alun alun Cook padang ini cukup terkenal dengan kepala ikan kakap gule biasa saya pesan nasi bungkus padang berisikan rendang ayam pop dan perkedel portion banyak dan filling,0.9386534690856934,0,[9.988e-01 8.000e-04 4.000e-04],0,[9.946e-01 4.600e-03 8.000e-04],"{'mengenyangkan': 'filling', 'masakan': 'Cook', 'porsi': 'portion', 'lokasi': 'location'}",0,0,6.22,,,,,,,,
"betapa bejad kader gerindra yang anggota dprd mencabuli anak smp , rakyat harus cerdas partai mana yang harus di tengelamkan di 2019",2,betapa depraved kader gerindra yang anggota dprd molested anak smp rakyat harus cerdas partai mana yang harus di tengelamkan di 2019,0.9232242703437804,2,[0.0027 0.002  0.9953],2,[0.0249 0.0102 0.965 ],"{'bejad': 'depraved', 'mencabuli': 'molested'}",2,2,5.45,,,,,,,,
"kampiun bistro berada di jalan . kebon kawung , sebelah kanan seberang stasiun kota bandung . harga makanan dan minuman nya sangat terjangkau . ada live musik juga . dan kalau beruntung , anda akan bertemu dengan yuke dewa19 di tempat ini .",0,champion bistro berada di jalan kebon kawung sebelah kanan seberang stasiun kota bandung price makanan dan minuman nya sangat terjangkau ada live music juga dan kalau beruntung anda akan bertemu dengan yuke dewa19 di tempat ini,0.9588325023651124,0,[9.975e-01 2.100e-03 4.000e-04],0,[9.947e-01 4.700e-03 6.000e-04],"{'kampiun': 'champion', 'musik': 'music', 'bistro': 'bistro', 'harga': 'price'}",0,0,6.38,,,,,,,,
kamar nya sempit tidak ada tempat menyimpan barang malah menambah barang . by the way ini kipas2 mau diletakkan mana . mana uchiwa segede ini pula .,2,kamar nya narrow tidak ada tempat menyimpan barang malah menambah barang by the way ini kipas2 mau diletakkan mana mana uchiwa segede ini pula,0.9872134923934937,2,[0.008  0.0015 0.9905],2,[0.0419 0.0055 0.9526],"{'sempit': 'narrow', 'by': 'by'}",2,2,5.69,,,,,,,,
"saya tadi mampir ke restauran ini , mungkin letak nya strategis , pertama masuk dikasih senyuman manis sama mbak yang ramah , di situ pun saya memesan chiken grill , es thai tea dan super duper ice cream . enak . saya suka .",0,saya tadi mampir ke restaurant ini mungkin letak nya strategis pertama masuk dikasih senyuman manis sama mbak yang ramah di situ pun saya memesan chiken grill es thai tea dan super duper ice cream nice saya like,0.9641948938369752,0,[9.986e-01 1.000e-03 5.000e-04],0,[0.9973 0.0017 0.001 ],"{'suka': 'like', 'enak': 'nice', 'restauran': 'restaurant', 'duper': 'duper'}",0,0,6.49,,,,,,,,
jangan percaya dengan agama buddha . agama itu saja tidak punya tuhan . agama sesat itu .,2,jangan percaya dengan agama buddha agama itu saja tidak punya tuhan agama perverted itu,0.96571946144104,2,[9.000e-04 1.000e-03 9.981e-01],2,[0.0012 0.0015 0.9973],{'sesat': 'perverted'},2,2,5.01,,,,,,,,
kafe ini menawarkan sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa rekomendasi karena enak rasanya yaitu terong goreng ! di sini saya baru bisa menikmati terong yang diolah sehingga terasa lezat :,0,kafe ini menawarkan sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa rekomendasi karena nice rasanya yaitu terong goreng di sini saya baru bisa menikmati terong yang diolah sehingga terasa delicious,0.9806336164474488,0,[9.953e-01 3.800e-03 9.000e-04],0,[0.9964 0.0018 0.0019],"{'enak': 'nice', 'lezat': 'delicious'}",0,0,5.76,,,,,,,,
